course_code,course_title,course_units,requisite,section,component,class_num,avail_status,Avail.,availability,open_seat,avail_seat,waitlist,day,time,start_time,end_time,location,instructor,Begin/End Dates
411,Introduction to Artificial Intelligence,3,Prerequisite: CSC 316 or ECE 309,1,Lec,9896,O,Open39/90,39/90,39,90,,M/W,4:30PM-5:45PM,4:30 PM,5:45 PM,1021 Engineering Building 2,"Akram,Bita ",08/22/22 - 12/05/22
412,Compiler Construction,3,Prerequisites: CSC 316 and 333,1,Lec,9161,O,Open37/45,37/45,37,45,,M/W,8:30AM-9:45AM,8:30 AM,9:45 AM,2207 Engineering Building 3,"Liu,Xu",08/22/22 - 12/05/22
415,Software Security,3,Corequisite: CSC 326,1,Lec,9162,O,Open9/90,9/90,9,90,,M/W,1:30PM-2:45PM,1:30 PM,2:45 PM,1021 Engineering Building 2,"Slankas,John Botious",08/22/22 - 12/05/22
417,Theory of Programming Languages,3,Prerequisite: CSC 316 or ECE 309,1,Lec,11864,O,Open12/50,12/50,12,50,,T/Th,8:30AM-9:45AM,8:30 AM,9:45 AM,2232 Engineering Building 3,"Jennings,Jamie Allison",08/22/22 - 12/05/22
422,Automated Learning and Data Analysis,3,"Prerequisite: CSC 226 or LOG 201, ST 370, MA 305 or MA 405",2,Lec,4383,O,Open23/70,23/70,23,70,,M/W,11:45AM-1:00PM,11:45 AM,1:00 PM,2336 Fitts-Woolard Hall,"Chi,Min",08/22/22 - 12/05/22
427,Introduction to Numerical Analysis I,3,Also listed as: MA 427 ,1,Lec,4687,W,Waitlist0/5 (1),0/5,0,5,1,M/W/F,12:50PM-1:40PM,12:50 PM,1:40 PM,2106 SAS Hall,"Chu,Moody Ten-Chao",08/22/22 - 12/05/22
440,Database Management Systems,3,Prerequisite: CSC 316 or ECE 309,1,Lec,4615,O,Open15/60,15/60,15,60,,T/Th,3:00PM-4:15PM,3:00 PM,4:15 PM,1005 Engineering Building I,"Ogan,Kemafor",08/22/22 - 12/05/22
442,Introduction to Data Science,3,Also listed as: ST 442 ,1,Lec,8528,C,Closed0/24,0/24,0,24,,T/Th,8:30AM-9:45AM,8:30 AM,9:45 AM,2203 Textiles Complex,"Chirkova,Rada Yuryevna",08/22/22 - 12/05/22
454,Human-Computer Interaction,3,Prerequisite: CSC 316 or ECE 309,1,Lec,11865,R,Reserved15/70,15/70,15,70,,T/Th,4:30PM-5:45PM,4:30 PM,5:45 PM,2321 Fitts-Woolard Hall,"Oduor PhD,Kenya",08/22/22 - 12/05/22
455,Social Computing and Decentralized Artificial Intelligence,3,Prerequisite: CSC 226 and CSC 316,1,Lec,7880,W,Waitlist0/20 (2),0/20,0,20,2,M/W,1:30PM-2:45PM,1:30 PM,2:45 PM,2232 Engineering Building 3,"Singh,Munindar P",08/22/22 - 12/05/22
461,Computer Graphics,3,Prerequisite: MA 305 or MA 405 and CSC 230 or ECE 209 and CSC 316 or ECE 309,1,Lec,1939,R,Reserved17/50,17/50,17,50,,M/W,4:30PM-5:45PM,4:30 PM,5:45 PM,2232 Engineering Building 3,"Watson,Benjamin Allen",08/22/22 - 12/05/22
471,Modern Topics in Cybersecurity,3,Prerequisite: CSC 405; Corequisite: CSC 474,1,Lec,10668,O,Open12/30,12-30,12,30,,T/Th,6:00PM-7:15PM,6:00 PM,7:15 PM,2015 Engineering Building I,"Wandji,Thierry Ketchiozo",08/22/22 - 12/05/22
474,Network Security,3,Prerequisite: CSC 230 or ECE 209,1,Lec,1940,O,Open19/90,19/90,19,90,,T/Th,11:45AM-1:00PM,11:45 AM,1:00 PM,1021 Engineering Building 2,"Enck,William H",08/22/22 - 12/05/22
481,Game Engine Foundations,3,Prerequisite: CSC 316 or ECE 309; Restriction: CSC Majors Only,1,Lec,1941,R,Reserved14/60,14/60,14,60,,M/W,10:15AM-11:30AM,10:15 AM,11:30 AM,135 BTEC,"Roberts,David L",08/22/22 - 12/05/22
486,Computational Visual Narrative,3,Prerequisite: CSC 316 or ECE 309,3,Lec,11867,O,Open15/20,15/20,15,20,,T,4:30PM-7:15PM,4:30 PM,7:15 PM,1229 Engineering Building 2,"Jhala,Arnav H",08/22/22 - 12/05/22
492,Senior Design Project,3,Prerequisite: CSC 326,1,Lec,1942,C,Closed0/28,0/28,0,28,,M/W,9:35AM-11:25AM,9:35 AM,11:25 AM,1203A Engineering Building II,"Heil,Margaret Rose ScaturroDominguez,Ignacio X.",08/22/22 - 12/05/22
492,Senior Design Project,3,Prerequisite: CSC 326,2,Lec,5619,C,Closed0/28,0/28,0,28,,M/W,12:50PM-2:40PM,12:50 PM,2:40 PM,1203A Engineering Building II,"King,Jason TylerHeil,Margaret Rose Scaturro",08/22/22 - 12/05/22
492,Senior Design Project,3,Prerequisite: CSC 326,3,Lec,7423,C,Closed0/24,0/24,0,24,,T/Th,9:00AM-10:50AM,9:00 AM,10:50 AM,1203A Engineering Building II,"Heil,Margaret Rose ScaturroBattestilli,Tzvetelina",08/22/22 - 12/05/22
